date,step,nav,cash,cash_pct,daily_return,reward,vol_30d,mdd_30d
2016-06-09T00:00:00.000000000,181,1001.1437,9013746.46,0.9003,0.001194,0.011939,0.006875,0.026953
2016-06-10T00:00:00.000000000,182,1001.2558,9014205.58,0.9003,0.000112,0.001120,0.006840,0.026953
2016-06-13T00:00:00.000000000,183,999.6676,9000490.35,0.9003,-0.001586,-0.159004,0.006727,0.026953
2016-06-14T00:00:00.000000000,184,998.3510,4992174.39,0.5000,-0.001317,-0.157688,0.006731,0.026953
2016-06-15T00:00:00.000000000,185,999.3423,4998203.27,0.5001,0.000993,-0.145704,0.006674,0.026953
2016-06-16T00:00:00.000000000,186,1001.1475,5008867.49,0.5003,0.001806,-0.098141,0.005555,0.026953
2016-06-17T00:00:00.000000000,187,1003.2288,5019922.32,0.5004,0.002079,-0.096705,0.005545,0.026953
2016-06-20T00:00:00.000000000,188,1005.1411,5028146.58,0.5002,0.001906,0.047653,0.005540,0.026953
2016-06-21T00:00:00.000000000,189,1002.1937,7517627.57,0.7501,-0.002932,-0.073308,0.005337,0.026953
2016-06-22T00:00:00.000000000,190,1005.9180,7545914.15,0.7502,0.003716,0.092903,0.005134,0.026953
2016-06-23T00:00:00.000000000,191,1005.9578,7546104.46,0.7501,0.000040,0.000989,0.004921,0.026953
2016-06-24T00:00:00.000000000,192,1005.2810,7540501.53,0.7501,-0.000673,-0.016820,0.004523,0.026953
2016-06-27T00:00:00.000000000,193,999.4777,7498479.95,0.7502,-0.005773,-0.336360,0.004381,0.022949
2016-06-28T00:00:00.000000000,194,1000.5893,496644.74,0.0496,0.001112,-0.073596,0.004261,0.022949
2016-06-29T00:00:00.000000000,195,1008.1064,506111.39,0.0502,0.007513,0.169090,0.004465,0.022212
2016-06-30T00:00:00.000000000,196,1020.2224,511783.61,0.0502,0.012019,0.336384,0.004878,0.022212
2016-07-01T00:00:00.000000000,197,1036.2862,520436.29,0.0502,0.015745,0.486516,0.005568,0.014284
2016-07-04T00:00:00.000000000,198,1050.8379,525291.50,0.0500,0.014042,0.423438,0.005758,0.014284
2016-07-05T00:00:00.000000000,199,1057.7224,530335.36,0.0501,0.006551,0.138730,0.005765,0.014284
2016-07-07T00:00:00.000000000,200,1059.6520,531067.58,0.0501,0.001824,-0.040656,0.005739,0.014284
2016-07-08T00:00:00.000000000,201,1049.1432,525536.86,0.0501,-0.009917,-0.499924,0.006131,0.014284
2016-07-11T00:00:00.000000000,202,1046.4031,525385.86,0.0502,-0.002612,-0.026118,0.006182,0.014284
2016-07-12T00:00:00.000000000,203,1050.9196,9459138.01,0.9001,0.004316,0.043162,0.006199,0.014172
2016-07-13T00:00:00.000000000,204,1051.4010,9464902.54,0.9002,0.000458,0.004580,0.006194,0.012503
2016-07-14T00:00:00.000000000,205,1052.1604,9471990.37,0.9002,0.000722,0.007223,0.005957,0.012503
2016-07-15T00:00:00.000000000,206,1052.1866,9471425.94,0.9002,0.000025,0.000250,0.005743,0.012503
2016-07-18T00:00:00.000000000,207,1052.6281,9475668.76,0.9002,0.000420,-0.045558,0.005288,0.012503
2016-07-19T00:00:00.000000000,208,1053.5460,7903131.39,0.7501,0.000872,-0.045426,0.005236,0.012503
2016-07-20T00:00:00.000000000,209,1049.9144,7877514.91,0.7503,-0.003447,-0.045443,0.005242,0.012503
2016-07-21T00:00:00.000000000,210,1050.6476,7881592.46,0.7502,0.000698,-0.045427,0.005236,0.012503
2016-07-22T00:00:00.000000000,211,1052.4193,7894137.40,0.7501,0.001686,-0.045425,0.005235,0.012503
2016-07-25T00:00:00.000000000,212,1051.5847,7889789.95,0.7503,-0.000793,-0.045454,0.005246,0.012503
2016-07-26T00:00:00.000000000,213,1052.6130,7897426.41,0.7503,0.000978,-0.045372,0.005214,0.012503
2016-07-27T00:00:00.000000000,214,1054.8294,7913750.81,0.7502,0.002106,-0.045295,0.005183,0.012503
2016-07-28T00:00:00.000000000,215,1052.3525,7893864.05,0.7501,-0.002348,-0.045427,0.005236,0.012503
2016-07-29T00:00:00.000000000,216,1054.5913,7912166.64,0.7503,0.002127,-0.045429,0.005236,0.012503
2016-08-01T00:00:00.000000000,217,1055.6560,7922494.30,0.7505,0.001010,-0.045432,0.005238,0.012503
2016-08-02T00:00:00.000000000,218,1055.7619,7919079.23,0.7501,0.000100,-0.045451,0.005246,0.012503
2016-08-03T00:00:00.000000000,219,1056.6436,7926405.02,0.7501,0.000835,-0.045285,0.005179,0.012503
2016-08-04T00:00:00.000000000,220,1056.2343,7923064.20,0.7501,-0.000387,-0.045288,0.005180,0.012503
2016-08-05T00:00:00.000000000,221,1055.2379,7914032.72,0.7500,-0.000943,-0.045321,0.005193,0.012503
2016-08-08T00:00:00.000000000,222,1057.0290,7928026.41,0.7500,0.001697,0.042433,0.005176,0.012503
2016-08-09T00:00:00.000000000,223,1059.6104,7948600.92,0.7501,0.002442,0.061053,0.004988,0.012503
2016-08-10T00:00:00.000000000,224,1058.3520,7941425.52,0.7504,-0.001188,-0.029691,0.005018,0.012503
2016-08-11T00:00:00.000000000,225,1055.8834,7922737.24,0.7503,-0.002332,-0.058311,0.004961,0.012503
2016-08-12T00:00:00.000000000,226,1053.5852,7905934.19,0.7504,-0.002177,-0.054414,0.004605,0.012503
2016-08-16T00:00:00.000000000,227,1054.1668,7910682.77,0.7504,0.000552,-0.041621,0.003713,0.012503
2016-08-17T00:00:00.000000000,228,1055.5246,7922364.07,0.7506,0.001288,-0.039221,0.002754,0.012503
2016-08-18T00:00:00.000000000,229,1055.3794,7920891.79,0.7505,-0.000138,-0.038547,0.002484,0.012503
