date,nav,reward,selected
2015-12-22T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_CIPLA,NSE_SOLARINDS,NSE_BAJAJ_AUTO,NSE_ADANIPOWER,NSE_ADANIPORTS,NSE_PIDILITIND,NSE_ONGC,NSE_TITAN"
2015-12-23T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_CIPLA,NSE_SOLARINDS,NSE_BAJAJ_AUTO,NSE_PIDILITIND,NSE_ONGC,NSE_ADANIPORTS,NSE_ADANIPOWER,NSE_TITAN"
2015-12-24T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_CIPLA,NSE_BAJAJ_AUTO,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_ADANIPORTS,NSE_TITAN,NSE_ONGC"
2015-12-28T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_BAJAJ_AUTO,NSE_PIDILITIND,NSE_CIPLA,NSE_ONGC,NSE_TITAN,NSE_ADANIPORTS,NSE_ADANIPOWER"
2015-12-29T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_PIDILITIND,NSE_CIPLA,NSE_BAJAJ_AUTO,NSE_TITAN,NSE_ADANIPORTS,NSE_ONGC"
2015-12-30T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_CIPLA,NSE_PIDILITIND,NSE_BAJAJ_AUTO,NSE_TITAN,NSE_ONGC,NSE_ADANIPORTS"
2015-12-31T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_CIPLA,NSE_PIDILITIND,NSE_HDFCBANK,NSE_ONGC,NSE_BAJAJ_AUTO,NSE_ADANIPORTS"
2016-01-01T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_ONGC,NSE_CIPLA,NSE_HDFCBANK,NSE_PIDILITIND,NSE_ADANIPOWER,NSE_ADANIPORTS,NSE_BAJAJ_AUTO"
2016-01-04T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_ONGC,NSE_CIPLA,NSE_HDFCBANK,NSE_PIDILITIND,NSE_BAJAJ_AUTO,NSE_ADANIPOWER,NSE_ADANIPORTS"
2016-01-05T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_HDFCBANK,NSE_ONGC,NSE_CIPLA,NSE_ABB,NSE_ADANIPOWER,NSE_INDHOTEL,NSE_PIDILITIND,NSE_BAJAJ_AUTO,NSE_ADANIPORTS"
2016-01-06T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_ONGC,NSE_CIPLA,NSE_HDFCBANK,NSE_ABB,NSE_INDHOTEL,NSE_PIDILITIND,NSE_BAJAJ_AUTO,NSE_ADANIPOWER,NSE_ADANIPORTS"
